frame,wall_ms,deck,smooth_display_samp,output_pos_mono,drift,smooth_ref_present,rebuild_count,nudge,is_paused,nudge_mode
1379,3401,0,274895.484,286605,-11709.516,true,5,0,false,jump
1380,3410,0,275311.201,286605,-11293.799,true,5,0,false,jump
1381,3420,0,275774.791,287046,-11271.209,true,5,0,false,jump
1382,3429,0,276194.740,289094,-12899.260,true,5,0,false,jump
1383,3439,0,276610.361,289094,-12483.639,true,5,0,false,jump
1384,3448,0,277076.330,289535,-12458.670,true,5,0,false,jump
1385,3457,0,277492.004,289535,-12042.996,true,5,0,false,jump
1386,3467,0,277907.705,289535,-11627.295,true,5,0,false,jump
1387,3476,0,278371.961,289976,-11604.039,true,5,0,false,jump
1388,3486,0,278787.618,289976,-11188.382,true,5,0,false,jump
1389,3496,0,279203.322,289976,-10772.678,true,5,0,false,jump
1390,3505,0,279618.981,289976,-10357.019,true,5,0,false,jump
1391,3514,0,280084.792,292465,-12380.208,true,5,0,false,jump
1392,3524,0,280500.459,292465,-11964.541,true,5,0,false,jump
1393,3533,0,280916.165,292465,-11548.835,true,5,0,false,jump
1394,3542,0,281380.265,292906,-11525.735,true,5,0,false,jump
1395,3552,0,281795.949,292906,-11110.051,true,5,0,false,jump
1396,3561,0,282215.781,294954,-12738.219,true,5,0,false,jump
1397,3571,0,282682.259,295395,-12712.741,true,5,0,false,jump
1398,3580,0,283098.135,295395,-12296.865,true,5,0,false,jump
1399,3590,0,283513.816,295395,-11881.184,true,5,0,false,jump
1400,3599,0,297726.761,297884,-157.239,true,5,0,false,jump
1401,3609,0,298142.758,297884,258.758,true,5,0,false,jump
1402,3618,0,298558.400,297884,674.400,true,5,0,false,jump
1403,3628,0,298998.053,298325,673.053,true,5,0,false,jump
1404,3637,0,299413.713,298325,1088.713,true,5,0,false,jump
1405,3646,0,299833.511,300373,-539.489,true,5,0,false,jump
1406,3656,0,300249.204,300373,-123.796,true,5,0,false,jump
1407,3665,0,300690.454,300814,-123.546,true,5,0,false,jump
1408,3675,0,301106.167,300814,292.167,true,5,0,false,jump
1409,3684,0,301525.913,302862,-1336.087,true,5,0,false,jump
1410,3694,0,301969.587,303303,-1333.413,true,5,0,false,jump
1411,3703,0,302385.205,303303,-917.795,true,5,0,false,jump
1412,3712,0,302800.902,303303,-502.098,true,5,0,false,jump
1413,3722,0,303242.908,303744,-501.092,true,5,0,false,jump
1414,3731,0,303662.653,305792,-2129.347,true,5,0,false,jump
1415,3741,0,304078.308,305792,-1713.692,true,5,0,false,jump
1416,3750,0,304522.737,306233,-1710.263,true,5,0,false,jump
1417,3760,0,304938.390,306233,-1294.610,true,5,0,false,jump
1418,3769,0,305358.179,308281,-2922.821,true,5,0,false,jump
1419,3779,0,305805.027,308722,-2916.973,true,5,0,false,jump
1420,3788,0,306220.708,308722,-2501.292,true,5,0,false,jump
1421,3797,0,306637.267,308722,-2084.733,true,5,0,false,jump
1422,3807,0,307052.950,308722,-1669.050,true,5,0,false,jump
1423,3816,0,307501.387,311211,-3709.613,true,5,0,false,jump
1424,3826,0,307917.165,311211,-3293.835,true,5,0,false,jump
1425,3835,0,308333.069,311211,-2877.931,true,5,0,false,jump
1426,3845,0,308779.827,311652,-2872.173,true,5,0,false,jump
1427,3854,0,309199.606,313700,-4500.394,true,5,0,false,jump
1428,3864,0,309615.237,313700,-4084.763,true,5,0,false,jump
1429,3873,0,310064.409,314141,-4076.591,true,5,0,false,jump
1430,3882,0,310480.029,314141,-3660.971,true,5,0,false,jump
1431,3892,0,310895.742,314141,-3245.258,true,5,0,false,jump
1432,3901,0,311347.330,316630,-5282.670,true,5,0,false,jump
1433,3911,0,311762.976,316630,-4867.024,true,5,0,false,jump
1434,3920,0,312178.608,316630,-4451.392,true,5,0,false,jump
1435,3930,0,312628.513,317071,-4442.487,true,5,0,false,jump
1436,3939,0,313048.301,319119,-6070.699,true,5,0,false,jump
1437,3949,0,313464.132,319119,-5654.868,true,5,0,false,jump
