frame,wall_ms,deck,smooth_display_samp,output_pos_mono,drift,smooth_ref_present,rebuild_count,nudge,nudge_events,is_paused,nudge_mode,display_speed
1446,2116,0,248814.865,251900,-3085.135,true,4,0,42,false,jump,1.000000
1447,2126,0,249230.611,251900,-2669.389,true,4,0,42,false,jump,1.000000
1448,2136,0,249646.496,251900,-2253.504,true,4,0,42,false,jump,1.000000
1449,2145,0,250092.006,252341,-2248.994,true,4,0,43,false,jump,1.000000
1450,2154,0,250511.982,254389,-3877.018,true,4,0,43,false,jump,1.000000
1451,2164,0,250927.586,254389,-3461.414,true,4,0,43,false,jump,1.000000
1452,2173,0,251375.512,254830,-3454.488,true,4,0,44,false,jump,1.000000
1453,2182,0,251791.136,254830,-3038.864,true,4,0,44,false,jump,1.000000
1454,2192,0,252210.911,256878,-4667.089,true,4,0,44,false,jump,1.000000
1455,2201,0,252661.247,257319,-4657.753,true,4,0,45,false,jump,1.000000
1456,2211,0,253077.731,257319,-4241.269,true,4,0,45,false,jump,1.000000
1457,2220,0,253493.568,257319,-3825.432,true,4,0,45,false,jump,1.000000
1458,2230,0,253909.358,257319,-3409.642,true,4,0,45,false,jump,1.000000
1459,2239,0,254361.277,259808,-5446.723,true,4,0,46,false,jump,1.000000
1460,2249,0,254776.942,259808,-5031.058,true,4,0,46,false,jump,1.000000
1461,2258,0,255192.632,259808,-4615.368,true,4,0,46,false,jump,1.000000
1462,2268,0,255642.864,260249,-4606.136,true,4,0,47,false,jump,1.000000
1463,2277,0,256062.590,262297,-6234.410,true,4,0,47,false,jump,1.000000
1464,2286,0,256478.220,262297,-5818.780,true,4,0,47,false,jump,1.000000
1465,2296,0,256930.860,262738,-5807.140,true,4,0,48,false,jump,1.000000
1466,2305,0,257346.487,262738,-5391.513,true,4,0,48,false,jump,1.000000
1467,2315,0,257761.610,262738,-4976.390,true,4,0,48,false,jump,1.000000
1468,2324,0,258216.660,265227,-7010.340,true,4,0,49,false,jump,1.000000
1469,2334,0,258632.301,265227,-6594.699,true,4,0,49,false,jump,1.000000
1470,2343,0,259048.135,265227,-6178.865,true,4,0,49,false,jump,1.000000
1471,2353,0,259501.496,265668,-6166.504,true,4,0,50,false,jump,1.000000
1472,2362,0,259921.261,267716,-7794.739,true,4,0,50,false,jump,1.000000
1473,2371,0,260337.729,267716,-7378.271,true,4,0,50,false,jump,1.000000
1474,2381,0,260754.160,267716,-6961.840,true,4,0,50,false,jump,1.000000
1475,2390,0,261209.086,268157,-6947.914,true,4,0,51,false,jump,1.000000
1476,2400,0,261624.757,268157,-6532.243,true,4,0,51,false,jump,1.000000
1477,2409,0,262045.080,270205,-8159.920,true,4,0,51,false,jump,1.000000
1478,2419,0,262502.404,270646,-8143.596,true,4,0,52,false,jump,1.000000
1479,2428,0,262918.155,270646,-7727.845,true,4,0,52,false,jump,1.000000
1480,2438,0,263334.852,270646,-7311.148,true,4,0,52,false,jump,1.000000
1481,2447,0,263794.573,273135,-9340.427,true,4,0,53,false,jump,1.000000
1482,2457,0,264210.974,273135,-8924.026,true,4,0,53,false,jump,1.000000
1483,2466,0,264626.666,273135,-8508.334,true,4,0,53,false,jump,1.000000
1484,2475,0,265084.686,273576,-8491.314,true,4,0,54,false,jump,1.000000
1485,2485,0,265501.122,273576,-8074.878,true,4,0,54,false,jump,1.000000
1486,2494,0,265921.679,275624,-9702.321,true,4,0,54,false,jump,1.000000
1487,2504,0,266382.087,276065,-9682.913,true,4,0,55,false,jump,1.000000
1488,2513,0,266798.927,276065,-9266.073,true,4,0,55,false,jump,1.000000
1489,2523,0,267214.986,276065,-8850.014,true,4,0,55,false,jump,1.000000
1490,2533,0,267635.328,278113,-10477.672,true,5,0,55,false,jump,1.000000
1491,2542,0,268097.287,278554,-10456.713,true,5,0,56,false,jump,1.000000
1492,2551,0,268513.737,278554,-10040.263,true,5,0,56,false,jump,1.000000
1493,2561,0,268930.269,278554,-9623.731,true,5,0,56,false,jump,1.000000
1494,2570,0,269390.520,278995,-9604.480,true,5,0,57,false,jump,1.000000
1495,2580,0,269811.094,281043,-11231.906,true,5,0,57,false,jump,1.000000
1496,2589,0,270227.518,281043,-10815.482,true,5,0,57,false,jump,1.000000
1497,2598,0,270690.152,281484,-10793.848,true,5,0,58,false,jump,1.000000
1498,2608,0,271106.659,281484,-10377.341,true,5,0,58,false,jump,1.000000
1499,2617,0,271522.335,281484,-9961.665,true,5,0,58,false,jump,1.000000
1500,2627,0,271983.260,281925,-9941.740,true,5,0,59,false,jump,1.000000
1501,2636,0,272399.049,281925,-9525.951,true,5,0,59,false,jump,1.000000
1502,2646,0,272814.674,281925,-9110.326,true,5,0,59,false,jump,1.000000
1503,2655,0,273273.897,282366,-9092.103,true,5,0,60,false,jump,1.000000
1504,2665,0,273693.675,284414,-10720.325,true,5,0,60,false,jump,1.000000
1505,2674,0,274109.377,284414,-10304.623,true,5,0,60,false,jump,1.000000
1506,2683,0,274525.014,284414,-9888.986,true,5,0,60,false,jump,1.000000
1507,2693,0,274985.794,284855,-9869.206,true,5,0,61,false,jump,1.000000
1508,2702,0,275405.568,286903,-11497.432,true,5,0,61,false,jump,1.000000
1509,2712,0,275820.426,286903,-11082.574,true,5,0,61,false,jump,1.000000
1510,2721,0,276283.592,287344,-11060.408,true,5,0,62,false,jump,1.000000
1511,2731,0,276700.040,287344,-10643.960,true,5,0,62,false,jump,1.000000
1512,2740,0,277115.739,287344,-10228.261,true,5,0,62,false,jump,1.000000
1513,2750,0,277581.294,289833,-12251.706,true,5,0,63,false,jump,1.000000
1514,2759,0,277996.920,289833,-11836.080,true,5,0,63,false,jump,1.000000
1515,2768,0,278412.738,289833,-11420.262,true,5,0,63,false,jump,1.000000
1516,2778,0,278876.581,290274,-11397.419,true,5,0,64,false,jump,1.000000
1517,2787,0,279296.432,292322,-13025.568,true,5,0,64,false,jump,1.000000
1518,2797,0,279712.283,292322,-12609.717,true,5,0,64,false,jump,1.000000
1519,2806,0,280178.504,292763,-12584.496,true,5,0,65,false,jump,1.000000
1520,2816,0,280594.163,292763,-12168.837,true,5,0,65,false,jump,1.000000
1521,2825,0,281010.619,292763,-11752.381,true,5,0,65,false,jump,1.000000
1522,2835,0,294828.169,294811,17.169,true,5,0,65,false,jump,1.000000
1523,2844,0,295269.139,295252,17.139,true,5,0,66,false,jump,1.000000
1524,2854,0,295686.029,295252,434.029,true,5,0,66,false,jump,1.000000
1525,2863,0,296101.951,295252,849.951,true,5,0,66,false,jump,1.000000
1526,2872,0,296545.349,297741,-1195.651,true,5,0,67,false,jump,1.000000
1527,2882,0,296961.029,297741,-779.971,true,5,0,67,false,jump,1.000000
1528,2891,0,297376.701,297741,-364.299,true,5,0,67,false,jump,1.000000
1529,2901,0,297818.434,298182,-363.566,true,5,0,68,false,jump,1.000000
1530,2910,0,298234.905,298182,52.905,true,5,0,68,false,jump,1.000000
1531,2920,0,298654.881,300230,-1575.119,true,5,0,68,false,jump,1.000000
1532,2929,0,299099.033,300671,-1571.967,true,5,0,69,false,jump,1.000000
1533,2939,0,299514.718,300671,-1156.282,true,5,0,69,false,jump,1.000000
1534,2948,0,299930.405,300671,-740.595,true,5,0,69,false,jump,1.000000
1535,2957,0,300350.175,302719,-2368.825,true,5,0,69,false,jump,1.000000
1536,2967,0,300795.914,303160,-2364.086,true,5,0,70,false,jump,1.000000
1537,2976,0,301212.803,303160,-1947.197,true,5,0,70,false,jump,1.000000
1538,2986,0,301627.081,303160,-1532.919,true,5,0,70,false,jump,1.000000
1539,2995,0,302071.152,303601,-1529.848,true,5,0,71,false,jump,1.000000
1540,3005,0,302490.989,305649,-3158.011,true,5,0,71,false,jump,1.000000
1541,3014,0,302906.674,305649,-2742.326,true,5,0,71,false,jump,1.000000
1542,3024,0,303353.160,306090,-2736.840,true,5,0,72,false,jump,1.000000
1543,3033,0,303768.928,306090,-2321.072,true,5,0,72,false,jump,1.000000
1544,3042,0,304185.108,306271,-2085.892,true,5,0,72,false,jump,1.000000
1545,3052,0,304634.019,308579,-3944.981,true,5,0,73,false,jump,1.000000
1546,3062,0,305050.858,308579,-3528.142,true,5,0,73,false,jump,1.000000
1547,3071,0,305466.792,308579,-3112.208,true,5,0,73,false,jump,1.000000
1548,3080,0,305914.021,309020,-3105.979,true,5,0,74,false,jump,1.000000
1549,3090,0,306332.396,311068,-4735.604,true,5,0,74,false,jump,1.000000
1550,3099,0,306748.975,311068,-4319.025,true,5,0,74,false,jump,1.000000
1551,3109,0,307165.477,311068,-3902.523,true,5,0,74,false,jump,1.000000
1552,3118,0,307614.285,311509,-3894.715,true,5,0,75,false,jump,1.000000
1553,3128,0,308030.732,311509,-3478.268,true,5,0,75,false,jump,1.000000
1554,3137,0,308447.313,311509,-3061.687,true,5,0,75,false,jump,1.000000
1555,3147,0,308894.439,311950,-3055.561,true,5,0,76,false,jump,1.000000
1556,3156,0,309310.937,311950,-2639.063,true,5,0,76,false,jump,1.000000
1557,3165,0,309727.438,311950,-2222.562,true,5,0,76,false,jump,1.000000
1558,3175,0,310176.981,314439,-4262.019,true,5,0,77,false,jump,1.000000
1559,3184,0,310593.465,314439,-3845.535,true,5,0,77,false,jump,1.000000
1560,3195,0,311009.958,314439,-3429.042,true,5,0,77,false,jump,1.000000
1561,3203,0,311457.819,314880,-3422.181,true,5,0,78,false,jump,1.000000
1562,3213,0,311874.554,314880,-3005.446,true,5,0,78,false,jump,1.000000
1563,3222,0,312295.049,316928,-4632.951,true,5,0,78,false,jump,1.000000
1564,3232,0,312745.319,317369,-4623.681,true,5,0,79,false,jump,1.000000
1565,3241,0,313161.792,317369,-4207.208,true,5,0,79,false,jump,1.000000
1566,3251,0,313578.284,317369,-3790.716,true,5,0,79,false,jump,1.000000
1567,3260,0,313998.824,319417,-5418.176,true,5,0,79,false,jump,1.000000
